energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
153.37, , , ,257.1,103.636,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
153.37,0.1,0.0061,0.0011,365.93,212.342,,,[E2],,,2.01, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
155.239,0.02,0.0889,0.0018,212.342,57.101,,,E1,,,0.177, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
162.41, , , ,257.1,94.645,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
162.41,0.08,0.0327,0.0012,169.152,6.654,,,[E1],,,0.159, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
169.156,0.02,0.0633,0.0019,169.152,0,,,[E1],,,0.144, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
170.59, , , ,257.1,86.469,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
170.59,0.06,0.02,0.004,279.71,109.04,,,[M1+E2],,,4.3, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
176.12,0.06,0.012,0.004,279.71,103.636,,,[M1+E2],,,3.9, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
180.81,0.1,0.0158,0.001,237.895,57.101,,,[E1],,,0.124, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
186.86, , , ,257.1,70.51,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
186.86,0.35,0.003,0.003,365.93,179.1,,,[E1],,,0.114, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
191.46,0.05,0.0192,0.0012,300.48,109.04,,,[M1+E2],,,3.1, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
193.26,0.05,0.0437,0.001,279.71,86.469,,,[M1+E2],,,3.0, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
194.67,0.2,0.033,0.008,303.59,109.04,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
194.95,0.03,0.177,0.005,201.594,6.654,,,E1,,,0.103, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
196.86,0.05,0.0208,0.0012,300.48,103.636,,,[M1+E2],,,2.8, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
199.95, , , ,257.1,57.101,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
199.95,0.06,0.0053,0.0008,303.59,103.636,,,[M1],,,3.01, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
201.62,0.05,0.0393,0.0009,201.594,0,,,E1,,,0.0955, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
202.9,0.2,0.0048,0.0019,365.93,163.34,,,[E1],,,0.0941, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
209.19,0.05,0.0142,0.0009,279.71,70.51,,,[E1],,,0.0876, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
212.29,0.05,0.151,0.003,212.342,0,,,E1,,,0.0846, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
