Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
8,9,O,2.6932,75,0, ,5/2+, ,STABLE, , , , , , , , , , , , , ,1/2,-1.89379, , , ,-2760.465,248,-19560.33,8,-6358.69,0,-8678.842,15,4143.08,0,13781.64,229,7750.728,0,16999131.75664,70,-808.76348,66,
8,11,O,,,0, ,5/2+, ,26.88,5,s,26.88,0.05,B-,100, , , , , , , ,3/2, , , , ,4820.302,2637,-5611.57,268,-8965.2,276,-12523.424,17,3955.64,264,17069.28,19,7566.495,139,19003577.97,2830,3332.858,2637,
8,13,O,,,0, ,(5/2+), ,3.42,10,s,3.42,0.1,B-,100, , , , , , , , , , , , ,8109.64,12134,8.18,12,-15394.78,21,-17169.878,135,3805.45,12,20993.43,80,7389.374,571,21008654.95,12882,8062.035,12000,
8,15,O,,,0, ,1/2+, ,82,+45-28,ms,0.082, ,B-,100, ,B-N,31,7, , , , , , , , ,11336.106,126190,3756.68,122,-20217.3,157,-22099.056,438,2732.98,134,24432.40,241,7163.485,5292,23015696.686,130663,14621.369,121712,
9,6,F,,,0, ,1/2+, ,660,20,keV,1e-21,2.3e-20,P,100, , , , , , , , , , , , ,-23648.622,68138,,,-10161.72,48,13711.146,14,23468.97,43,-1270.00,14,6497.459,933,15017785.139,15029,16566.751,14000,
9,8,F,,,0, ,5/2+, ,64.49,16,s,64.49,0.16,EC+B+,100, , , , , , , ,1/2,4.7223, , , ,-14548.746,432,-30106.39,20,-5818.69,37,2760.465,248,16799.87,8,600.27,25,7542.328,15,17002095.238,266,1951.702,248,
9,10,F,2.8976,25,0, ,1/2+, ,STABLE, , , , , , , , , , , , , ,1/2, , , , ,-3239.494,160,-14876.38,36,-4013.8,0,-4820.302,2637,10431.87,46,7993.60,0,7779.018,0,18998403.16288,93,-1487.44420,86,
9,12,F,,,0, ,5/2+, ,4.158,20,s,4.158,0.02,B-,100, , , , , , , , ,3.93, ,0.11, ,5684.171,1800,-1076.99,180,-10342.6,15,-8109.64,12,8101.46,180,11132.75,200,7738.293,86,20999948.894,1932,-47.605,1800,
9,14,F,,,0, ,5/2+, ,2.23,14,s,2.23,0.14,B-,100, , , , , , , , , , , , ,8439.312,33321,3238.66,33,-14995.93,37,-11336.106,126,7579.43,36,13286.74,66,7622.344,1449,23003526.874,35770,3285.263,33320,
9,16,F,,,0, ,5/2+, ,80,9,ms,0.08,0.009,B-,100, ,B-N,23.1,4.5, , , , , , , , ,13369.667,100721,9214.49,96,-16322.66,165,-15994.861,191,4281.67,137,14455.21,191,7336.306,3858,25012167.727,103535,11334.166,96442,
9,18,F,,,0, ,(5/2+), ,5.0,2,ms,0.005,0.0002,B-,100, ,B-N,77,21, , , , , , , , ,18399.37,400258,16897.85,390,-13695.06,573,,,1269.91,405,16499.73,423,6867.932,14438,27027322,418500,25450.279,389830,
9,20,F,,,0, , , ,2.5,3,ms,0.0025,0.0003,B-,100, ,B-N,100,80, , , , , , , , ,21750.385,546221,20779.13,540,-18258,727,,,1662.73,656,19219,874,6444.031,18116,29043103,564000,40150.186,525363,
9,22,F,,,0, , ,GT,260, ,ns,0.00000026, ,B-2N, , ,B-N, , ,B-, , , , , , , ,24961,608,24791,602,,,,,40,809,,,6033,18,31060272,587,56143,546,
10,5,Ne,,,0, ,(3/2-), ,0.59, ,MeV,7.732842628328571e-22, ,2P,100, , , , , , , , , , , , ,,,,,,,23648.622,68,,,-962.00,77,4868.728,4446,15043172.98,71588,40215.373,66684,
10,7,Ne,3.0413,88,0, ,1/2-, ,109.2,6,ms,0.1092,0.0006,ECP,100, ,EC+B+,100, ,ECA, , ,3/2, , , , ,-18672.766,1001356,,,-9039.9,10,14548.745,432,15557.65,20,1468.78,8,6640.499,21,17017713.959,380,16500.447,354,
10,9,Ne,3.0082,40,0, ,1/2+, ,17.22,2,s,17.22,0.02,EC+B+,100, , , , , , , ,1/2, , , , ,-11177.34,10536,-31357.25,94,-3528.47,52,3239.494,16,11636.88,40,6410.03,49,7567.343,8,19001880.903,171,1752.050,160,
10,11,Ne,2.9695,33,0, ,3/2+, ,STABLE, , , , , , , , , , , , , , ,-0.661797, ,0.103, ,-3547.145,90,-20653.70,111,-7347.93,4,-5684.171,18,6761.16,4,13003.28,5,7971.713,2,20993846.685,41,-5731.776,38,
10,13,Ne,2.9104,71,0, ,5/2+, ,37.24,12,s,37.24,0.12,B-,100, , , , , , , , ,-1.077, , , ,4375.804,104,-8043.85,20,-10911.82,264,-8439.312,33,5200.65,10,15236.39,12,7955.256,5,22994466.9,112,-5154.049,104,
10,15,Ne,2.9316,88,0, ,1/2+, ,602,8,ms,0.602,0.008,B-,100, , , , , , , , ,-1.0062, , , ,7322.312,29070,-1688.92,29,-12522.45,31,-13369.668,101,4155.17,29,16868.99,102,7839.799,1162,24997814.799,31181,-2035.502,29045,
10,17,Ne,,,0, ,(3/2+), ,31.5,13,ms,0.0315,0.0013,B-,100, ,B-N,2,0.5, , , , , , , , ,12568.699,90847,5840.37,91,-9995.38,152,-18399.37,400,1501.52,93,18886.94,144,7520.414,3362,27007569.462,97445,7050.909,90770,
