,0.09132,13.443,1.852,4.201E-03,3.695E-12,2.006E-02,8.376E-03,1.002E-02,1.143E-02,1.010E-02,2.093E-02,2.302E-02,1.453E-02
,0.09384,13.345,1.845,4.342E-03,3.386E-12,2.019E-02,7.115E-03,8.826E-03,1.007E-02,8.766E-03,1.956E-02,2.284E-02,1.493E-02
,0.09637,13.246,1.837,4.492E-03,3.098E-12,2.032E-02,6.026E-03,7.742E-03,8.834E-03,7.590E-03,1.826E-02,2.264E-02,1.534E-02
,0.09890,13.147,1.830,4.651E-03,2.829E-12,2.044E-02,5.087E-03,6.788E-03,7.746E-03,6.554E-03,1.703E-02,2.243E-02,1.575E-02
,0.10144,13.046,1.822,4.820E-03,2.577E-12,2.055E-02,4.278E-03,5.933E-03,6.773E-03,5.643E-03,1.586E-02,2.221E-02,1.617E-02
,0.10400,12.945,1.814,5.001E-03,2.343E-12,2.065E-02,3.585E-03,5.175E-03,5.908E-03,4.845E-03,1.474E-02,2.198E-02,1.660E-02
,0.10659,12.842,1.807,5.196E-03,2.125E-12,2.075E-02,2.990E-03,4.498E-03,5.137E-03,4.144E-03,1.369E-02,2.174E-02,1.704E-02
,0.10921,12.738,1.798,5.405E-03,1.922E-12,2.084E-02,2.483E-03,3.897E-03,4.452E-03,3.532E-03,1.269E-02,2.148E-02,1.749E-02
,0.11187,12.632,1.790,5.631E-03,1.733E-12,2.093E-02,2.051E-03,3.364E-03,3.844E-03,2.998E-03,1.174E-02,2.122E-02,1.796E-02
,0.11458,12.525,1.782,5.876E-03,1.558E-12,2.101E-02,1.686E-03,2.890E-03,3.306E-03,2.533E-03,1.084E-02,2.094E-02,1.844E-02
,0.11733,12.415,1.773,6.143E-03,1.395E-12,2.109E-02,1.376E-03,2.473E-03,2.831E-03,2.129E-03,9.984E-03,2.065E-02,1.895E-02
,0.12015,12.304,1.764,6.434E-03,1.245E-12,2.116E-02,1.116E-03,2.106E-03,2.411E-03,1.779E-03,9.176E-03,2.035E-02,1.947E-02
,0.12304,12.189,1.754,6.755E-03,1.106E-12,2.123E-02,8.984E-04,1.782E-03,2.043E-03,1.478E-03,8.411E-03,2.003E-02,2.001E-02
,0.12601,12.072,1.745,7.109E-03,9.784E-13,2.129E-02,7.173E-04,1.499E-03,1.720E-03,1.219E-03,7.688E-03,1.970E-02,2.059E-02
,0.12908,11.951,1.734,7.502E-03,8.608E-13,2.135E-02,5.673E-04,1.258E-03,1.438E-03,9.975E-04,7.005E-03,1.936E-02,2.120E-02
,0.13225,11.827,1.724,7.942E-03,7.530E-13,2.141E-02,4.441E-04,1.074E-03,1.193E-03,8.091E-04,6.359E-03,1.900E-02,2.184E-02
,0.13555,11.698,1.713,8.436E-03,6.546E-13,2.146E-02,3.437E-04,1.012E-03,9.805E-04,6.498E-04,5.751E-03,1.863E-02,2.253E-02
,0.13899,11.564,1.701,8.996E-03,5.646E-13,2.151E-02,2.623E-04,1.247E-03,7.963E-04,5.158E-04,5.174E-03,1.823E-02,2.326E-02
,0.14259,11.425,1.688,9.635E-03,4.827E-13,2.155E-02,1.970E-04,2.106E-03,6.361E-04,4.041E-04,4.627E-03,1.781E-02,2.404E-02
,0.14639,11.280,1.675,1.037E-02,4.088E-13,2.157E-02,1.454E-04,3.992E-03,4.959E-04,3.117E-04,4.114E-03,1.736E-02,2.487E-02
,0.15042,11.127,1.660,1.122E-02,3.424E-13,2.159E-02,1.051E-04,7.114E-03,3.727E-04,2.361E-04,3.631E-03,1.688E-02,2.579E-02
,0.15471,10.966,1.645,1.223E-02,2.830E-13,2.159E-02,7.420E-05,1.114E-02,2.659E-04,1.752E-04,3.177E-03,1.636E-02,2.679E-02
